ID,LENGTH,A,B,DIR1,SPEED
"1",46.63,"1","2","0",
"2",170.99,"3","4","1",
"3",171.56,"5","3","1",
"4",108.88,"6","1","0",
"5",59.18,"7","1","0",
"61",53.17,"8","9","0","60"
"62",66.27,"10","8","0","60"
"63",302.59,"11","12","0","60"
"66",163.53,"13","14","0","60"
"90",8.38,"15","13","0","60"
"92",1088.83,"16","17","0",
"108",29.58,"18","19","0",
"117",242.49,"20","21","0",
"141",47.14,"22","23","0","60"
"152",12.10,"24","25","0","60"
"154",13.47,"26","27","0",
"157",51.65,"28","29","0",
"162",211.26,"30","31","0","60"
"163",52.86,"32","33","0",
"176",11.16,"34","35","0",
"179",10.43,"36","37","0",
"181",23.13,"38","39","0",
"188",603.54,"40","41","1","60"
"197",17.35,"42","43","0",
"210",12.52,"44","45","0",
"217",11.18,"46","47","0","60"
"222",121.89,"48","10","0","60"
"228",6.60,"49","50","0","60"
"229",21.49,"51","52","0","60"
"230",7.40,"53","54","0","60"
"232",79.77,"55","56","0","60"
"234",12.48,"57","58","0","60"
"235",42.71,"59","60","0","60"
"236",248.32,"61","62","0","60"
"237",114.84,"63","64","0","60"
"241",30.00,"65","66","0","60"
"246",68.66,"67","68","0","60"
"248",125.09,"69","67","0","60"
"279",28.40,"70","71","0","60"
"295",208.18,"71","72","0","60"
"340",301.11,"73","74","0","60"
"354",376.73,"74","75","0","60"
"367",534.61,"75","76","0","60"
"371",304.26,"77","78","0","60"
"374",101.45,"79","77","0","60"
"390",124.73,"80","81","0","60"
"393",291.00,"82","80","0","60"
"399",27.44,"83","84","0","60"
"406",329.20,"84","85","0","60"
"453",191.98,"86","87","0",
"475",91.87,"88","89","0","60"
"478",429.45,"90","91","0","60"
"486",119.10,"91","92","0","60"
"487",196.36,"89","93","0","60"
"510",335.52,"93","94","0","60"
"529",17.56,"43","95","0",
"530",459.52,"94","96","0","60"
"537",24.61,"97","36","0",
"554",257.02,"12","98","0","60"
"595",135.60,"99","100","0","60"
"605",19.40,"101","102","0","60"
"606",455.91,"103","104","0",
"608",231.15,"105","99","0","60"
"617",180.22,"106","103","0",
"641",59.01,"107","108","0","60"
"646",280.23,"109","110","0",
"655",88.79,"108","111","0","60"
"659",66.57,"111","112","0","60"
"661",96.86,"113","109","0",
"669",74.53,"114","113","0",
"673",41.97,"115","114","0",
"719",103.14,"116","117","0","60"
"729",373.10,"118","119","0","60"
"737",106.26,"117","120","0","60"
"738",255.09,"47","31","0","60"
"739",237.55,"119","46","0","60"
"758",122.55,"121","122","0","60"
"760",269.67,"123","124","0","60"
"769",77.17,"122","125","0","60"
"773",62.73,"126","127","0","60"
"785",238.84,"127","128","0","60"
"802",109.85,"128","129","0","60"
"848",30.30,"130","131","0","60"
"853",20.76,"131","132","0","60"
"857",89.58,"133","134","0","60"
"860",42.77,"134","135","0","60"
"879",82.12,"136","137","0","60"
"918",200.52,"138","136","0","60"
"1060",73.83,"139","140","0",
"1089",32.72,"141","142","0","60"
"1099",298.71,"143","139","0",
"1112",427.03,"140","144","0",
"1121",109.12,"145","34","0",
"1122",110.92,"142","146","0","60"
"1124",97.83,"147","143","0",
"1134",346.62,"35","148","0",
"1144",134.37,"144","149","0",
"1147",118.11,"150","147","0",
"1163",31.56,"151","152","0",
"1169",271.94,"152","153","0",
"1172",289.04,"154","155","0",
"1174",49.39,"153","156","0",
"1176",26.88,"155","157","0",
"1177",196.04,"158","150","0",
"1178",11.11,"157","158","0",
"1190",157.06,"159","160","0",
"1197",61.44,"160","161","0",
"1202",44.91,"161","45","0",
"1227",86.99,"162","44","0",
"1242",77.25,"163","162","0",
"1307",565.11,"164","165","0",
"1324",204.56,"166","167","0",
"1335",243.54,"168","166","0",
"1407",276.52,"169","170","0",
"1413",100.26,"170","171","0",
"1453",128.76,"172","173","0","60"
"1463",923.94,"174","175","0","60"
"1465",217.89,"175","172","0","60"
"1504",63.89,"176","177","1","60"
"1511",112.57,"178","176","1","60"
"1628",20.05,"179","180","1","60"
"1662",160.96,"180","181","1","60"
"1700",1776.97,"62","182","0","60"
"1707",99.42,"183","184","1","60"
"1749",144.18,"184","185","1","60"
"1758",397.62,"59","186","0","60"
"1766",577.79,"187","60","0","60"
"1770",140.41,"185","188","1","60"
"1777",64.49,"188","189","1","60"
"1785",225.54,"190","191","0","60"
"1941",232.14,"192","193","1","60"
"1971",282.56,"193","194","1","60"
"2004",860.23,"64","22","0","60"
"2073",524.03,"195","63","0","60"
"2139",1421.27,"23","196","0","60"
"2155",107.44,"197","198","1","60"
"2157",107.26,"199","200","1","60"
"2170",43.50,"201","202","0",
"2178",90.20,"200","203","1","60"
"2180",96.57,"204","197","1","60"
"2199",785.84,"205","206","0","60"
"2204",145.79,"202","207","0",
"2221",39.36,"208","209","0",
"2228",141.70,"206","49","0","60"
"2229",67.96,"210","211","0",
"2230",75.61,"212","211","0",
"2240",73.98,"213","208","0",
"2248",64.94,"214","211","0",
"2273",14.68,"215","216","1",
"2280",367.38,"217","218","0","60"
"2303",107.96,"219","220","0",
"2304",32.64,"221","220","0",
"2336",190.87,"216","222","1",
"2345",897.05,"54","223","0","60"
"2384",209.67,"224","225","0","60"
"2407",96.57,"226","224","0","60"
"2444",90.20,"52","227","0","60"
"2448",140.53,"228","229","0",
"2458",1549.13,"230","231","0","60"
"2459",734.92,"232","53","0","60"
"2470",133.33,"233","234","0",
"2475",11.72,"234","235","0",
"2493",238.05,"236","237","1","60"
"2498",126.74,"238","239","1","60"
"2503",947.37,"240","51","0","60"
"2506",69.87,"235","241","0",
"2512",731.32,"229","233","0",
"2516",44.25,"242","243","0",
"2518",61.32,"244","236","1","60"
"2523",57.43,"239","245","1","60"
"2526",37.94,"241","246","0",
"2527",957.38,"247","248","0","60"
"2528",53.91,"249","250","0",
"2532",50.43,"251","252","0",
"2533",256.91,"246","253","0",
"2535",16.54,"250","254","0",
"2537",2936.07,"255","226","0","60"
"2539",41.38,"252","256","0",
"2540",1416.07,"257","258","0","60"
"2587",374.40,"259","260","0","60"
"2623",48.02,"261","262","0",
"2624",51.53,"263","262","0",
"2637",590.57,"264","232","0","60"
"2647",339.05,"258","265","0","60"
"2696",61.44,"266","267","0",
"2703",227.33,"265","268","0","60"
"2718",755.10,"269","270","0","60"
"2723",13.00,"270","271","0","60"
"2726",16.15,"272","273","0","60"
"2727",31.70,"274","272","0","60"
"2735",76.88,"275","274","0","60"
"2739",163.74,"267","276","0",
"2740",470.65,"262","277","0",
"2746",97.54,"278","279","0","60"
