N,X,Y
"1",120.648802,24.168744
"2",120.648517,24.169074
"3",120.708145,24.227824
"4",120.709706,24.227350
"5",120.709777,24.227425
"6",120.648297,24.167877
"7",120.649174,24.168333
"8",121.014150,24.203967
"9",121.014134,24.204439
"10",121.013901,24.203414
"11",120.872127,24.154995
"12",120.871183,24.157123
"13",120.863517,24.164591
"14",120.864875,24.165383
"15",120.863447,24.164551
"16",121.309777,24.348013
"17",121.315569,24.344304
"18",121.307948,24.348050
"19",121.308222,24.348141
"20",121.310301,24.353364
"21",121.311727,24.355089
"22",121.122657,24.233089
"23",121.123115,24.233158
"24",120.889162,24.098685
"25",120.889081,24.098605
"26",120.886535,24.271065
"27",120.886486,24.270952
"28",120.884979,24.268445
"29",120.885242,24.268844
"30",120.951059,24.167482
"31",120.952796,24.168516
"32",120.885366,24.269022
"33",120.885636,24.269430
"34",120.863832,24.189738
"35",120.863915,24.189804
"36",120.862552,24.156218
"37",120.862625,24.156284
"38",120.815051,24.258440
"39",120.815220,24.258580
"40",120.822609,24.261624
"41",120.816852,24.260270
"42",120.857909,24.154722
"43",120.858070,24.154774
"44",120.856570,24.193338
"45",120.856570,24.193225
"46",120.955280,24.169161
"47",120.955171,24.169147
"48",121.012813,24.203023
"49",121.234900,24.244743
"50",121.234925,24.244798
"51",121.206322,24.249074
"52",121.206318,24.249268
"53",121.223168,24.244543
"54",121.223215,24.244492
"55",121.279936,24.297379
"56",121.280698,24.297203
"57",121.332153,24.362271
"58",121.332224,24.362363
"59",121.056523,24.227064
"60",121.056688,24.227385
"61",121.049785,24.224251
"62",121.047566,24.224468
"63",121.117827,24.238238
"64",121.118910,24.238272
"65",120.889291,24.099070
"66",120.889144,24.099303
"67",120.889506,24.103576
"68",120.888961,24.103266
"69",120.890471,24.104126
"70",120.891370,24.107424
"71",120.891385,24.107680
"72",120.891337,24.109530
"73",120.889672,24.116035
"74",120.891169,24.117946
"75",120.889034,24.120245
"76",120.886372,24.122943
"77",120.883246,24.123458
"78",120.880620,24.123600
"79",120.884068,24.123854
"80",120.878528,24.126286
"81",120.877567,24.125613
"82",120.878800,24.127106
"83",120.874978,24.128543
"84",120.875246,24.128562
"85",120.876935,24.130573
"86",120.847008,24.142786
"87",120.846299,24.144264
"88",120.869387,24.147124
"89",120.870006,24.147698
"90",120.870268,24.144830
"91",120.871899,24.148013
"92",120.871677,24.148984
"93",120.869194,24.149205
"94",120.869952,24.152010
"95",120.858129,24.154915
"96",120.871963,24.154978
"97",120.862367,24.156075
"98",120.869327,24.158235
"99",120.857995,24.160622
"100",120.859297,24.160420
"101",120.860334,24.160880
"102",120.860370,24.161052
"103",120.840107,24.161095
"104",120.844339,24.159882
"105",120.855805,24.161174
"106",120.838491,24.161742
"107",120.860886,24.162923
"108",120.861345,24.163248
"109",120.835964,24.163432
"110",120.838065,24.161982
"111",120.862051,24.163720
"112",120.862602,24.164045
"113",120.835280,24.164041
"114",120.834773,24.164527
"115",120.834521,24.164826
"116",120.867827,24.167785
"117",120.867969,24.168706
"118",120.961007,24.169017
"119",120.957532,24.168613
"120",120.868860,24.169085
"121",120.942476,24.168974
"122",120.941990,24.169986
"123",120.897466,24.168880
"124",120.896117,24.170878
"125",120.941649,24.170605
"126",120.872646,24.170675
"127",120.873144,24.171004
"128",120.875179,24.171930
"129",120.876133,24.172390
"130",120.879801,24.174198
"131",120.880027,24.174375
"132",120.880159,24.174518
"133",120.883309,24.174713
"134",120.882449,24.174834
"135",120.882080,24.175019
"136",120.930639,24.175950
"137",120.931275,24.175493
"138",120.929794,24.177574
"139",120.871842,24.187094
"140",120.872452,24.187089
"141",120.840203,24.188484
"142",120.840219,24.188779
"143",120.871379,24.189170
"144",120.873843,24.189521
"145",120.862759,24.189767
"146",120.840095,24.189773
"147",120.871452,24.189873
"148",120.866935,24.190186
"149",120.874240,24.190511
"150",120.872172,24.190680
"151",120.843213,24.191182
"152",120.842919,24.191090
"153",120.840555,24.191812
"154",120.869499,24.190537
"155",120.871611,24.191976
"156",120.840123,24.192010
"157",120.871848,24.192083
"158",120.871957,24.192088
"159",120.854884,24.192372
"160",120.856187,24.192573
"161",120.856715,24.192842
"162",120.856665,24.194080
"163",120.856746,24.194710
"164",120.874201,24.196711
"165",120.876342,24.197972
"166",120.856633,24.199913
"167",120.856777,24.198278
"168",120.858285,24.200816
